iter	RMSE
0	1.623842413
1	1.617085528
2	1.610900773
3	1.602354788
4	1.595667295
5	1.589000956
6	1.582410924
7	1.575852807
8	1.569033884
9	1.562878238
10	1.557968173
11	1.552145984
12	1.546325435
13	1.540521272
14	1.534738721
15	1.527754478
16	1.52197528
17	1.515482528
18	1.511694736
19	1.504953387
20	1.499797554
21	1.493635597
22	1.488864514
23	1.483628954
24	1.478357491
25	1.474339943
26	1.470608736
27	1.465384083
28	1.461246763
29	1.456348012
30	1.451758036
31	1.447260837
32	1.441827874
33	1.43829474
34	1.432755701
35	1.428816407
36	1.424630088
37	1.419190995
38	1.415931923
39	1.411669792
40	1.406719933
41	1.40285418
42	1.398077215
43	1.393640783
44	1.388564799
45	1.385674695
46	1.381060694
47	1.378011411
48	1.374530308
49	1.370855186
50	1.366544932
51	1.362853479
52	1.358022663
53	1.354148104
54	1.349652116
55	1.345869211
56	1.341826965
57	1.338704931
58	1.335737069
59	1.332596242
60	1.330134502
61	1.326850403
62	1.324292917
63	1.321738293
64	1.317322027
65	1.312503268
66	1.308322088
67	1.304789084
68	1.30167027
69	1.299023377
70	1.296023662
71	1.292916441
72	1.288875201
73	1.284513672
74	1.280632052
75	1.277721464
76	1.274282483
77	1.271246974
78	1.266884816
79	1.263409247
80	1.259429946
81	1.256227606
82	1.254086495
83	1.250603718
84	1.246623515
85	1.244028629
86	1.24052684
87	1.237229883
88	1.235130874
89	1.232380919
90	1.228411709
91	1.225986406
92	1.223737881
93	1.22125483
94	1.218645344
95	1.214709749
96	1.211955008
97	1.208848166
98	1.205158033
99	1.201768099
100	1.199052743
101	1.19658905
102	1.193489594
103	1.191308246
104	1.189410269
105	1.187433544
106	1.184773609
107	1.181516665
108	1.179537343
109	1.177117273
110	1.174908514
111	1.172631359
112	1.170363967
113	1.167947864
114	1.165848291
115	1.163333778
116	1.16075282
117	1.159007621
118	1.157027265
119	1.15535179
120	1.153471486
121	1.150895931
122	1.149009481
123	1.146802973
124	1.14433573
125	1.14175881
126	1.140133237
127	1.137803454
128	1.134810682
129	1.131891688
130	1.129817237
131	1.128112647
132	1.125265894
133	1.12271648
134	1.12003198
135	1.1173191
136	1.115210119
137	1.11308897
138	1.110646993
139	1.108191153
140	1.106389586
141	1.104000921
142	1.102591392
143	1.100342721
144	1.098139946
145	1.096049018
146	1.094411215
147	1.091925679
148	1.090483071
149	1.08791302
150	1.086050961
151	1.083762865
152	1.082002843
153	1.079813612
154	1.077987997
155	1.076513567
156	1.074205542
157	1.07201938
158	1.069380407
159	1.0668764
160	1.065014453
161	1.063127911
162	1.060098318
163	1.057748741
164	1.056185145
165	1.054542143
166	1.053238604
167	1.051039721
168	1.049384593
169	1.04712618
170	1.045647238
171	1.043914164
172	1.041613587
173	1.040144994
174	1.03894073
175	1.036935268
176	1.035461118
177	1.033771146
178	1.032160036
179	1.030231084
180	1.028368827
181	1.026769371
182	1.025207273
183	1.0233546
184	1.021432932
185	1.019311022
186	1.018155341
187	1.016579205
188	1.01474488
189	1.012602458
190	1.010688923
191	1.009366965
192	1.008214986
193	1.006786432
194	1.005538444
195	1.004127826
196	1.003153521
197	1.001905977
198	1.000161372
199	0.9978816722
200	0.9960032694
201	0.9946114054
202	0.9928336935
203	0.9915611557
204	0.9900735367
205	0.9887126545
206	0.9876236106
207	0.9857635156
208	0.9843803767
209	0.9831910217
210	0.9811898724
211	0.9799838031
212	0.977991151
213	0.9763806216
214	0.9753586517
215	0.9739629533
216	0.9722506756
217	0.9704001552
218	0.9693187871
219	0.9677159926
220	0.966040753
221	0.9649243466
222	0.9636676068
223	0.9619578478
224	0.9603072408
225	0.9582909633
226	0.9575622845
227	0.9565610547
228	0.9552673647
229	0.9533033484
230	0.9524017092
231	0.9512960337
232	0.9498841054
233	0.9488659822
234	0.947469177
235	0.9462242225
236	0.9447344409
237	0.9432439798
238	0.9421370976
239	0.9407217034
240	0.9397328587
241	0.9380950274
242	0.9369996085
243	0.9361381987
244	0.9344895703
245	0.9333404968
246	0.9322798011
247	0.9316020548
248	0.9305021927
249	0.929312099
250	0.9277673093
251	0.9264850202
252	0.9249875027
253	0.9236456782
254	0.9219695088
255	0.9202863253
256	0.9194625398
257	0.9180352106
258	0.9168462312
259	0.9159383422
260	0.9148862374
261	0.9143833736
262	0.913115497
263	0.9115037791
264	0.9103882395
265	0.9090309234
266	0.9077528778
267	0.9062428812
268	0.9048988547
269	0.9039424589
270	0.9028232924
271	0.9021474394
272	0.9008772319
273	0.8996091157
274	0.899086022
275	0.8981607149
276	0.8969555582
277	0.8958502135
278	0.8949230346
279	0.8937408839
280	0.8921418311
281	0.891271581
282	0.8904926722
283	0.8893035722
284	0.8886417956
285	0.8873798971
286	0.8864243398
287	0.8854389566
288	0.8850058561
289	0.8842668423
290	0.8831125639
291	0.8825093717
292	0.881282398
293	0.8798481097
294	0.8789021258
295	0.8780074065
296	0.8773059288
297	0.876121793
298	0.8750937582
299	0.8740499814
300	0.8728242504
301	0.8718679102
302	0.8711479695
303	0.8696020152
304	0.8679457168
305	0.86639456
306	0.8656407889
307	0.8646010637
308	0.8633739726
309	0.8626260184
310	0.8616753051
311	0.8609370577
312	0.8598133787
313	0.8588002227
314	0.857757468
315	0.8567644945
316	0.8556649448
317	0.8548470953
318	0.8537443358
319	0.852927443
320	0.8521603938
321	0.8507306868
322	0.8494765597
323	0.8484107215
324	0.847653549
325	0.8464418064
326	0.8457495625
327	0.8449413589
328	0.8435370464
329	0.8420925793
330	0.8408475211
331	0.8401201359
332	0.8388331908
333	0.8373149317
334	0.8361561586
335	0.8350149554
336	0.8337481662
337	0.8326081992
338	0.8315494168
339	0.8307331576
340	0.8295109736
341	0.8284246065
342	0.8273436916
343	0.8263307537
344	0.8253256231
345	0.824295672
346	0.8236233407
347	0.8230593839
348	0.8217994038
349	0.8208661617
350	0.8200083989
351	0.8191233334
352	0.818003869
353	0.8168478356
354	0.8158795076
355	0.8146659696
356	0.8133001938
357	0.8124749099
358	0.8118469144
359	0.8107689057
360	0.8098527573
361	0.8092572269
362	0.8080050598
363	0.8070414815
364	0.8063320466
365	0.8054019527
366	0.804358612
367	0.8039809488
368	0.8028546982
369	0.8018858635
370	0.8008933889
371	0.7997688486
372	0.7992492223
373	0.7983068976
374	0.7977334187
375	0.7966457626
376	0.7956329593
377	0.7945599882
378	0.7933407298
379	0.7925938311
380	0.7921071884
381	0.7910369905
382	0.7899059405
383	0.7892332901
384	0.7882283403
385	0.7870796917
386	0.7856523684
387	0.7850362426
388	0.7840860145
389	0.7829765707
390	0.782170625
391	0.7811739741
392	0.7804802006
393	0.7794120636
394	0.7784156566
395	0.7772813639
396	0.7764556341
397	0.7757901958
398	0.7748221268
399	0.7737532691
400	0.7727155333
401	0.7717965637
402	0.7706491114
403	0.7694316403
404	0.7688534573
405	0.7681336141
406	0.767231039
407	0.7661530049
408	0.765124615
409	0.7642196392
410	0.7636101679
411	0.7624077778
412	0.7613760725
413	0.7603385428
414	0.759136174
415	0.7580885911
416	0.7571644667
417	0.7557098074
418	0.7550076511
419	0.7540665798
420	0.753268306
421	0.7524929534
422	0.751334382
423	0.7503719445
424	0.7495023
425	0.7486598299
426	0.7474310227
427	0.746341525
428	0.7453122726
429	0.7448998429
430	0.7439223752
431	0.7431096576
432	0.7424294028
433	0.7417323081
434	0.7405729781
435	0.739719034
436	0.7389316895
437	0.7381685318
438	0.7372567996
439	0.7361660056
440	0.7353450778
441	0.7343037012
442	0.7329578153
443	0.7324108239
444	0.7317055283
445	0.7305495583
446	0.7297920898
447	0.7286104543
448	0.7279000021
449	0.7271207484
450	0.7264927228
451	0.7258018784
452	0.7248289041
453	0.7242965367
454	0.7234189173
455	0.7229974166
456	0.7222105286
457	0.7218832328
458	0.7209966433
459	0.7205185867
460	0.7199137087
461	0.7190061406
462	0.7179515832
463	0.7175809911
464	0.7166417805
465	0.7155241651
466	0.7149188171
467	0.7141566338
468	0.7128988619
469	0.7124368359
470	0.7116673191
471	0.7106075969
472	0.709440756
473	0.7084594733
474	0.7075104363
475	0.7064419801
476	0.7055894539
477	0.7047654215
478	0.703634326
479	0.7029708442
480	0.7027315011
481	0.7020321836
482	0.7009761733
483	0.7002477675
484	0.699133178
485	0.6985261085
486	0.6976779248
487	0.6963322893
488	0.6955443284
489	0.6953424837
490	0.6943793546
491	0.6939693359
492	0.6931812674
493	0.6924753896
494	0.6917258813
495	0.6909141596
496	0.6901784585
497	0.6898213139
498	0.68914373
499	0.6880984545
500	0.6868796388
501	0.6861430026
502	0.6848626273
503	0.6838490136
504	0.6830602672
505	0.6821760559
506	0.6811481869
507	0.6806522422
508	0.6798125879
509	0.6788907938
510	0.6780032725
511	0.6768190686
512	0.6761013511
513	0.6759394137
514	0.6757266758
515	0.6747162955
516	0.67403108
517	0.6731910715
518	0.6725544128
519	0.6715729522
520	0.6707760936
521	0.6697059266
522	0.6689630124
523	0.668321875
524	0.6671746786
525	0.6669195014
526	0.6662015139
527	0.6659896964
528	0.664920672
529	0.6637293141
530	0.6635098984
531	0.6626927848
532	0.6617856213
533	0.6614108494
534	0.6611272893
535	0.660977268
536	0.6601088785
537	0.6599677974
538	0.6590895474
539	0.6584020955
540	0.6578155377
541	0.6569603956
542	0.6559623305
543	0.6553380894
544	0.6546705926
545	0.653634633
546	0.6526070001
547	0.6517413749
548	0.6512610099
549	0.6509939813
550	0.6508406432
551	0.6500354246
552	0.6491498405
553	0.6484192731
554	0.6475546494
555	0.647123286
556	0.6464493571
557	0.645521068
558	0.6447134086
559	0.6445546652
560	0.6443451334
561	0.6433602201
562	0.6425166345
563	0.64229851
564	0.6422084401
565	0.6414089528
566	0.6412089978
567	0.6405582202
568	0.6398941776
569	0.6397013844
570	0.6387746267
571	0.638206308
572	0.6379569354
573	0.6368977518
574	0.6364396794
575	0.6356747466
576	0.6347761408
577	0.6345863328
578	0.6344568442
579	0.633574751
580	0.6333509513
581	0.6326042276
582	0.6319190391
583	0.631270183
584	0.630600401
585	0.6300494658
586	0.6295815201
587	0.6287398274
588	0.6280057666
589	0.6276819208
590	0.6271104657
591	0.6264165647
592	0.625495608
593	0.624652549
594	0.6239673834
595	0.6232745382
596	0.6231248149
597	0.6225293232
598	0.6223876202
599	0.6217430899
600	0.6209486135
601	0.6201796268
602	0.619541184
603	0.6187158953
604	0.6185245795
605	0.6180372248
606	0.617139171
607	0.6170635929
608	0.6169323706
609	0.6160362531
610	0.6158502791
611	0.6155794551
612	0.615257299
613	0.6145936795
614	0.6140263436
615	0.6134337535
616	0.6133465375
617	0.6132515229
618	0.6124666703
619	0.611673434
620	0.6112066947
621	0.6105898144
622	0.6097658669
623	0.6094165784
624	0.6092588625
625	0.6086404888
626	0.6085370111
627	0.6081909893
628	0.6076101768
629	0.6074419415
630	0.6072905815
631	0.606927435
632	0.6065380763
633	0.6057519582
634	0.6048453113
635	0.6045461248
636	0.6040668033
637	0.6034260926
638	0.6031829877
639	0.6028666221
640	0.6021252958
641	0.6016094599
642	0.6009716792
643	0.6003793032
644	0.6002805473
645	0.5993493624
646	0.5988751006
647	0.5981218915
648	0.5973112715
649	0.5966301672
650	0.5961083031
651	0.5958903108
652	0.5948446297
653	0.5947320157
654	0.5946331955
655	0.5938129281
656	0.5936070999
657	0.5934281615
658	0.5932745621
659	0.5925279765
660	0.5920256035
661	0.5911549098
662	0.5904202051
663	0.5903115263
664	0.5901657274
665	0.5892817144
666	0.588721097
667	0.5885456446
668	0.5878609322
669	0.5873318404
670	0.5866663966
671	0.5856088984
672	0.5855101623
673	0.5854173275
674	0.5852958375
675	0.5850811953
676	0.5849167167
677	0.5847083887
678	0.5845907329
679	0.583820467
680	0.5831985126
681	0.5830927935
682	0.5824317912
683	0.5822753563
684	0.5814995235
685	0.5806867835
686	0.5799263244
687	0.5791806262
688	0.5785027275
689	0.5781093822
690	0.5770898495
691	0.5762559808
692	0.5755845494
693	0.575020953
694	0.5737697183
695	0.5730996694
696	0.5723619147
697	0.5714227685
698	0.570743062
699	0.5700884246
700	0.5698144628
701	0.5691758542
702	0.5690094501
703	0.5685018951
704	0.5672979158
705	0.5668272005
706	0.5656931027
707	0.5650413712
708	0.5645636569
709	0.5639928052
710	0.5633159643
711	0.5623803055
712	0.562119069
713	0.5612769442
714	0.5611805133
715	0.5609335626
716	0.5603680857
717	0.5597277585
718	0.5590353093
719	0.5581707506
720	0.5575665659
721	0.5566227078
722	0.5558965986
723	0.5558148114
724	0.5556929337
725	0.5556065448
726	0.554510287
727	0.5536756677
728	0.5532434567
729	0.5523509184
730	0.5521415915
731	0.5514490226
732	0.5507003207
733	0.5502888056
734	0.5501969066
735	0.5500441659
736	0.5499642821
737	0.5492405408
738	0.5486405338
739	0.548545698
740	0.5478618044
741	0.5477718613
742	0.5470022796
743	0.5465824869
744	0.5458127312
745	0.5449558875
746	0.5448674598
747	0.5442796757
748	0.5434888597
749	0.5434031027
750	0.543249446
